code,chapter,filepath,libelle,has_perimetre,has_localisations,has_exclusions,has_consignes,has_formulations,nb_chars
A00.0,I,I/A00.0.md,"À Vibrio cholerae 01, biovar cholerae",true,false,true,false,true,1233
A00.1,I,I/A00.1.md,"À Vibrio cholerae 01, biovar El Tor",true,false,true,false,true,1225
A00.9,I,I/A00.9.md,"Choléra, sans précision",true,false,true,false,true,1215
A01.0,I,I/A01.0.md,Fièvre typhoïde,true,false,true,false,true,1820
A01.1,I,I/A01.1.md,Paratyphoïde A,true,false,true,false,false,1109
A01.2,I,I/A01.2.md,Paratyphoïde B,true,false,true,false,false,1109
A01.3,I,I/A01.3.md,Paratyphoïde C,true,false,true,false,false,1109
A01.4,I,I/A01.4.md,"Paratyphoïde, sans précision",true,false,true,false,true,1297
A02.0,I,I/A02.0.md,Entérite à Salmonella,true,false,true,false,true,1588
A02.1,I,I/A02.1.md,Sepsis  à Salmonella,true,false,true,false,true,1616
A02.2,I,I/A02.2.md,Infection localisée à Salmonella,true,false,true,false,true,1814
A02.8,I,I/A02.8.md,Autres infections précisées à Salmonella,true,false,true,false,true,1517
A02.9,I,I/A02.9.md,"Salmonellose, sans précision",true,false,true,false,true,1562
A03.0,I,I/A03.0.md,Shigellose à Shigella dysenteriae,true,false,true,false,true,1324
A03.1,I,I/A03.1.md,Shigellose à Shigella flexneri,true,false,true,false,true,1365
A03.2,I,I/A03.2.md,Shigellose à Shigella boydii,true,false,true,false,true,1258
A03.3,I,I/A03.3.md,Shigellose à Shigella sonnei,true,false,true,false,true,1260
A03.8,I,I/A03.8.md,Autres shigelloses,true,false,true,false,false,1325
A03.9,I,I/A03.9.md,"Shigellose, sans précision",true,false,true,false,true,1351
A04.0,I,I/A04.0.md,Infection entéropathogène à Escherichia coli,true,false,true,false,false,1291
A04.1,I,I/A04.1.md,Infection entérotoxigène à Escherichia coli,true,false,true,false,false,1290
A04.2,I,I/A04.2.md,Infection entéro-invasive à Escherichia coli,true,false,true,false,false,1291
A04.3,I,I/A04.3.md,Infection entérohémorragique à Escherichia coli,true,false,true,false,false,1294
A04.4,I,I/A04.4.md,Autres infections intestinales à Escherichia coli,true,false,true,false,true,1618
A04.5,I,I/A04.5.md,Entérite à Campylobacter,true,false,true,false,true,1532
A04.6,I,I/A04.6.md,Entérite à Yersinia enterocolitica,true,false,true,false,true,1484
A04.7,I,I/A04.7.md,Entérocolite à Clostridium difficile,true,false,true,false,true,1784
A04.8,I,I/A04.8.md,Autres infections intestinales bactériennes précisées,true,false,true,false,true,2151
A04.9,I,I/A04.9.md,"Infection intestinale bactérienne, sans précision",true,false,true,false,true,1664
A05.0,I,I/A05.0.md,Intoxication alimentaire à staphylocoques,true,false,true,false,false,1464
A05.1,I,I/A05.1.md,Botulisme,true,false,true,false,true,1590
A05.2,I,I/A05.2.md,Intoxication alimentaire à Clostridium perfringens [Clostridium welchii],true,false,true,false,true,1792
A05.3,I,I/A05.3.md,Intoxication alimentaire à Vibrio parahaemolyticus,true,false,true,false,false,1473
A05.4,I,I/A05.4.md,Intoxication alimentaire à Bacillus cereus,true,false,true,false,false,1465
A05.8,I,I/A05.8.md,Autres intoxications bactériennes d'origine alimentaire précisées,true,false,true,false,true,1974
A05.9,I,I/A05.9.md,"Intoxication bactérienne d'origine alimentaire, sans précision",true,false,true,false,true,1622
A06.0,I,I/A06.0.md,Dysenterie amibienne aigüe,true,false,true,false,true,1490
A06.1,I,I/A06.1.md,Amibiase intestinale chronique,true,false,true,false,true,1447
A06.2,I,I/A06.2.md,Colite amibienne non dysentérique,true,false,true,false,true,1395
A06.3,I,I/A06.3.md,Amœbome de l'intestin,true,false,true,false,true,1402
A06.4,I,I/A06.4.md,Abcès amibien du foie,true,false,true,false,true,1512
A06.5,I,I/A06.5.md,Abcès amibien du poumon,true,false,true,false,true,1439
A06.6,I,I/A06.6.md,Abcès amibien du cerveau ,true,false,true,false,false,1395
A06.7,I,I/A06.7.md,Amibiase cutanée,true,false,true,false,true,1389
A06.8,I,I/A06.8.md,Autres localisations d'une infection amibienne,true,false,true,false,true,1893
A06.9,I,I/A06.9.md,"Amibiase, sans précision",true,false,true,false,true,1423
A07.0,I,I/A07.0.md,Balantidiose,true,false,true,false,true,1307
A07.1,I,I/A07.1.md,Giardiase [lambliase],true,false,true,false,true,1391
A07.2,I,I/A07.2.md,Cryptosporidiose,true,false,true,false,true,1356
